Debaters,Bid,Bid Rd
,2,2
,0,3
Matthew Xing & Inko Bovenzi,1,1
,2,2
,0,3
,0,4
Bryan Benetiz & Raj Solanki,1,1
,2,2
,3,3
Anoosh Kumar & Jasper Ou,1,1
,2,2
,3,3
,4,4
,0,5
,5,6
,6,7
Andrew Huang & Albi Manifredi,,
,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,0,7
,7,8
,0,9
,0,10
,8,11
,9,12
Sebastian Dunbar & Jacqueline Henley,1,1
,2,2
,3,3
,4,4
Luke Moberly & Madeline Walker,1,1
,2,2
,0,3
,3,4
,0,5
Danny Cigale & Sandeep Shankar,,
,0,1
,1,2
,2,3
,0,4
,0,5
Brooks Howell & Sandeep Shankar,1,1
,2,2
Brooks Howell & Jesse Sun,1,1
,2,2
,0,3
,0,4
Ashley Cai & Emma Kwan,1,1
,2,2
Grace Klinefelter & Payton Winterhof,1,1
,2,2
,3,3
Zachary Shelton & Oliver Niu,1,1
,2,2
,3,3
,0,4
,4,5
,5,6
Kenny Zhu & Jack Rankin,1,1
,2,2
,0,3
Somil Agarwal & Brian Zhu,1,1
,2,2
,0,3
,0,4
,3,5
Praveen Gunendran & Neha Seshadri,0,1
,1,2
,2,3
Rithvik Kopparapu & Ishan Maunder,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
,9,9
,10,10
Arunav Gupta & Dylan Zhang,1,1
,0,2
,2,3
Jay Garg & Anika Sridhar,,
,0,1
,0,2
,1,3
,2,4
Tyler Katz & Andrew Peterson,0,1
,1,2
,2,3
,3,4
,0,5
Lawrence Zhu & Nathaniel Yoon,1,1
,0,2
,2,3
Alex Goetschius & Walker Stewart,0,1
,1,2
,2,3
,0,4
,3,5
Nihir Annam & Brandon Wang,1,1
,2,2
,3,3
Joy Fan & Michelle Zhang,1,1
,0,2
,2,3
Daniel Liang & Mukund Rao,1,1
,2,2
,3,3
Jennifer Lin & Jacqueline Wei,,
,0,1
,1,2
,0,3
,2,4
Yizhen Zhen & Donovan Spall,1,1
,0,2
,2,3
Daniel Fernandez & Noah Kaye,,
,0,1
,1,2
,2,3
,3,4
,4,5
,5,6
,6,7
Minkyung Kwon & Max Shenkman,1,1
,2,2
Anik Sen & Keya Vijapure,1,1
,2,2
,3,3
,4,4
,0,5
Cavin Gada & Chery Gada,1,1
,2,2
Dori Schurr & Oliver Stern,1,1
,2,2
,0,3
,3,4
,0,5
Ashwin Balaje & Rohan Jaisinghani,1,1
,2,2
,3,3
Jack Delaney & James McGibbon,1,1
,2,2
,0,3
,0,4
Jason Hu & Michelle Zhao,1,1
,0,2
,0,3
,2,4
,0,5
Udheesh Gaddipati & Andrea Zhang,1,1
,2,2
,3,3
,4,4
Aadhavaarasan Raviarasan & Albert Wen,0,1
,1,2
,2,3
,3,4
Joseph Donowho & Joseph Dowdall,1,1
,2,2
,,3
,0,4
,0,5
Caden Day & RJ Shah,1,1
,2,2
,0,3
,0,4
,0,5
Ali Jalal & Zain Ashraf,1,1
,2,2
,3,3
,0,4
Asher Moll & Pranav Konduri,1,1
,2,2
,0,3
Sam Hernandez & Trey Plante,1,1
,0,2
,0,3
,2,4
,0,5
Olivia McCauley & Kieran Singh,1,1
,2,2
Jeremy Lee & Justin Sword,1,1
,0,2
,2,3
,3,4
,4,5
,0,6
Isaac Appel & Sri Chilukuri,1,1
,0,2
,2,3
,3,4
,4,5
,5,6
,6,7
,7,8
David Kinane & Jake Ryan,1,1
,2,2
,3,3
Naman Razdan & Soumil Zachariah,1,1
,2,2
Sukhm Kang & Nate Mayor,1,1
,0,2
,2,3
,3,4
,4,5
Anish Ganesh & Abraham Paik,1,1
,2,2
Kiran Krishnamurthi & John DeSantis,1,1
,2,2
Daniel Yan & Sai Karnati,0,1
,0,2
,1,3
,2,4
Alec Boulton & Jackson Loze,1,1
,2,2
,3,3
,4,4
,5,5
,0,6
Gabe Grodan & Daniel Timor,0,1
,1,2
,2,3
,3,4
Hannah Feuer & Elizabeth Hepburn,1,1
,2,2
Zoe Kaufmann & Azraf Khan,1,1
,0,2
,2,3
Robert Quinn & Christian Wing,0,1
,1,2
,2,3
,0,4
Miles Dintzner & Ali Slimi,1,1
,0,2
,0,3
,2,4
,3,5
Hattie Bilson & Ruby Marsh,0,1
,1,2
,2,3
,0,4
Simhao Low & Rohan Ajjarapu,1,1
,2,2
Frank Lai & Krishna Shamanna,0,1
,1,2
,0,3
,2,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,2
